target,variables,n_vars,lag,correlation,abs_corr,n_obs
AI.PA,"('LIN', 'ABBV')",2,1,0.2569022017504149,0.2569022017504149,646
AI.PA,"('BZ=F', 'LIN', 'ABBV')",3,1,0.2517719982201613,0.2517719982201613,652
AI.PA,"('^NDX', 'LIN', 'ABBV')",3,1,0.2765754019156806,0.2765754019156806,646
AI.PA,"('AAPL', 'LIN', 'ABBV')",3,1,0.2704790518839907,0.2704790518839907,646
AIR.PA,"('^NDX', 'ABBV')",2,1,0.2658713927504427,0.2658713927504427,646
AIR.PA,"('^TNX', '^NDX', 'ABBV')",3,1,0.25886340466197044,0.25886340466197044,646
AIR.PA,"('BZ=F', '^NDX', 'ABBV')",3,1,0.25688491894274373,0.25688491894274373,652
AIR.PA,"('DX-Y.NYB', '^NDX', 'LIN')",3,1,0.2585806836073761,0.2585806836073761,650
AIR.PA,"('DX-Y.NYB', '^NDX', 'ABBV')",3,1,0.2750129883265992,0.2750129883265992,650
AIR.PA,"('^NDX', 'AAPL', 'ABBV')",3,1,0.2581529453204057,0.2581529453204057,646
AIR.PA,"('^NDX', 'LIN', 'ABBV')",3,1,0.26723213216605474,0.26723213216605474,646
CS.PA,"('^NDX', 'LIN')",2,1,0.2829054976901615,0.2829054976901615,646
CS.PA,"('^NDX', 'ABBV')",2,1,0.26174148979839973,0.26174148979839973,646
CS.PA,"('AAPL', 'LIN')",2,1,0.2802862596874176,0.2802862596874176,646
CS.PA,"('LIN', 'ABBV')",2,1,0.27272199129132835,0.27272199129132835,646
CS.PA,"('^TNX', '^NDX', 'LIN')",3,1,0.2688631446402944,0.2688631446402944,646
CS.PA,"('^TNX', 'AAPL', 'LIN')",3,1,0.2674655422453701,0.2674655422453701,646
CS.PA,"('^TNX', 'LIN', 'ABBV')",3,1,0.2671998012994669,0.2671998012994669,646
CS.PA,"('GC=F', '^NDX', 'LIN')",3,1,0.25081097089517046,0.25081097089517046,650
CS.PA,"('BZ=F', '^NDX', 'LIN')",3,1,0.27058601200812055,0.27058601200812055,652
CS.PA,"('BZ=F', 'AAPL', 'LIN')",3,1,0.26779875296594596,0.26779875296594596,652
CS.PA,"('BZ=F', 'LIN', 'ABBV')",3,1,0.2677490126158277,0.2677490126158277,652
CS.PA,"('^NDX', 'AAPL', 'LIN')",3,1,0.27690530669094304,0.27690530669094304,646
CS.PA,"('^NDX', 'AAPL', 'ABBV')",3,1,0.2654106175205241,0.2654106175205241,646
CS.PA,"('^NDX', 'LIN', 'ABBV')",3,1,0.3040929110552289,0.3040929110552289,646
CS.PA,"('AAPL', 'LIN', 'ABBV')",3,1,0.29792273099370636,0.29792273099370636,646
SAF.PA,"('^NDX', 'ABBV')",2,1,0.25147345263893683,0.25147345263893683,646
SAF.PA,"('^TNX', '^NDX', 'ABBV')",3,1,0.2580320425839873,0.2580320425839873,646
SAF.PA,"('DX-Y.NYB', '^NDX', 'ABBV')",3,1,0.25969741063669505,0.25969741063669505,650
SGO.PA,"('AAPL', 'LIN')",2,1,0.25019696676496483,0.25019696676496483,646
SGO.PA,"('^NDX', 'AAPL', 'LIN')",3,1,0.2591500042175587,0.2591500042175587,646
SGO.PA,"('^NDX', 'AAPL', 'ABBV')",3,1,0.25757955433199975,0.25757955433199975,646
URW.PA,"('GC=F', '^NDX', 'AAPL')",3,1,0.25028676980601033,0.25028676980601033,650
VIE.PA,"('^NDX', 'LIN')",2,1,0.2505569267038168,0.2505569267038168,646
VIE.PA,"('^NDX', 'ABBV')",2,1,0.2578973670326341,0.2578973670326341,646
VIE.PA,"('^NDX', 'AAPL', 'ABBV')",3,1,0.25365247923128736,0.25365247923128736,646
VIE.PA,"('^NDX', 'LIN', 'ABBV')",3,1,0.2776141802440553,0.2776141802440553,646
VIE.PA,"('AAPL', 'LIN', 'ABBV')",3,1,0.2635252749143974,0.2635252749143974,646
