target,leaders,lag_days,support,confidence,lift,occurrences
COST,BAC ↑ AND PFE ↓,2,0.032,0.609,3.12,23
SBUX,FISV ↑ AND ILMN ↓,2,0.032,0.652,3.1,23
EDEN.PA,C ↑ AND SGO.PA ↓,1,0.032,0.696,2.95,23
DIS,ADBE ↑ AND ADI ↓,1,0.034,0.625,2.92,24
AIR.PA,FISV ↑ AND TEP.PA ↓,1,0.034,0.625,2.9,24
SAF.PA,AVGO ↑ AND RTX ↓,3,0.034,0.667,2.86,24
IBM,DSY.PA ↑ AND REGN ↓,1,0.045,0.625,2.86,32
ERF.PA,LIN ↑ AND TEP.PA ↓,3,0.04,0.679,2.81,28
PUB.PA,GS ↑ AND RMS.PA ↓,3,0.033,0.609,2.79,23
BNP.PA,ACN ↑ AND CAP.PA ↓,1,0.031,0.636,2.7,22
CAP.PA,DIS ↑ AND VIV.PA ↓,1,0.032,0.609,2.7,23
EDEN.PA,JNJ ↑ AND XOM ↓,3,0.031,0.636,2.69,22
SAF.PA,C ↑ AND EL.PA ↓,1,0.038,0.63,2.69,27
SU.PA,PG ↑ AND TEP.PA ↓,3,0.041,0.69,2.68,29
SGO.PA,ADBE ↑ AND ADI ↓,2,0.034,0.625,2.67,24
NKE,KDP ↑ AND SGO.PA ↓,3,0.037,0.615,2.67,26
REGN,AMZN ↑ AND AVGO ↓,2,0.04,0.607,2.65,28
CVS,EN.PA ↑ AND NKE ↓,1,0.032,0.652,2.6,23
ADBE,BNP.PA ↑ AND LIN ↓,1,0.035,0.64,2.59,25
KER.PA,PYPL ↑ AND SGO.PA ↓,1,0.035,0.64,2.59,25
SAF.PA,CRM ↑ AND SGO.PA ↓,1,0.039,0.607,2.59,28
ADBE,DG.PA ↑ AND PG ↓,1,0.031,0.636,2.58,22
CRM,GS ↑ AND MDLZ ↓,1,0.031,0.636,2.58,22
CAT,ALO.PA ↑ AND C ↓,1,0.034,0.708,2.56,24
SAF.PA,CAT ↑ AND PUB.PA ↓,1,0.035,0.6,2.56,25
SGO.PA,CRM ↑ AND EL.PA ↓,1,0.035,0.6,2.56,25
